pays ,arr_CH,nu_CH,ds_CH,arr_AG,nu_AG,ds_AG,arr_AR,nu_AR,ds_AR,arr_AI,nu_AI,ds_AI,arr_BL,nu_BL,ds_BL,arr_BS,nu_BS,ds_BS,arr_BE,nu_BE,ds_BE,arr_FR,nu_R,ds_FR,arr_GE,nu_GE,ds_GE,arr_GL,nu_GL,ds_GL,arr_GR,nu_GR,ds_GR,arr_JU,nu_JU,ds_JU,arr_LU,nu_LU,ds_LU,arr_NE,nu_NE,ds_NE,arr_NW,nu_NW,ds_NW,arr_OW,nu_OW,ds_OW,arr_SH,nu_SH,ds_SH,arr_SZ,nu_SZ,ds_SZ,arr_SO,nu_SO,ds_SO,arr_SG,nu_SG,ds_SG,arr_TG,nu_TG,ds_TG,arr_TI,nu_TI,ds_TI,arr_UR,nu_UR,ds_UR,arr_VS,nu_VS,ds_VS,arr_VD,nu_VD,ds_VD,arr_ZG,nu_ZG,ds_ZG,arr_ZH,nu_ZH,ds_ZH
Allemagne,2038680,5207892,2.6    ,63067,146739,2.3    ,10654,22181,2.1    ,10535,16050,1.5    ,23068,46742,2.0    ,115401,195333,1.7    ,224467,615350,2.7    ,21942,40659,1.9    ,61905,121619,2.0    ,5826,14255,2.4    ,346368,1294952,3.7    ,1865,3734,2.0    ,90829,196658,2.2    ,9299,17596,1.9    ,18017,33422,1.9    ,31415,86738,2.8    ,13984,23322,1.7    ,37662,94509,2.5    ,36690,75413,2.1    ,85235,214001,2.5    ,47480,91168,1.9    ,117868,349340,3.0    ,26678,55129,2.1    ,149631,531197,3.6    ,77200,170080,2.2    ,24329,45048,1.9    ,387265,706657,1.8    
Autriche,190153,400266,2.1    ,5828,13506,2.3    ,753,1429,1.9    ,256,418,1.6    ,1942,3894,2.0    ,7092,14210,2.0    ,18809,40986,2.2    ,2299,5419,2.4    ,9472,18271,1.9    ,676,1661,2.5    ,23698,62617,2.6    ,112,203,1.8    ,8933,18458,2.1    ,696,1443,2.1    ,1127,2149,1.9    ,1883,4079,2.2    ,1471,2470,1.7    ,4760,8887,1.9    ,3098,8561,2.8    ,8815,20136,2.3    ,4009,8008,2.0    ,7943,19075,2.4    ,1512,3026,2.0    ,11583,27826,2.4    ,7265,16741,2.3    ,2434,4599,1.9    ,53687,92194,1.7    
Belgique,215240,678517,3.2    ,2187,4027,1.8    ,160,371,2.3    ,72,358,5.0    ,1812,2714,1.5    ,9266,14917,1.6    ,21789,100380,4.6    ,2712,5358,2.0    ,24626,45354,1.8    ,175,714,4.1    ,16044,98109,6.1    ,306,706,2.3    ,10011,14687,1.5    ,1684,3155,1.9    ,5046,5928,1.2    ,2405,7415,3.1    ,660,1314,2.0    ,2102,6294,3.0    ,2816,3445,1.2    ,3018,7024,2.3    ,918,1501,1.6    ,17106,29027,1.7    ,4518,6939,1.5    ,35096,168612,4.8    ,28787,113185,3.9    ,1675,3027,1.8    ,20249,33956,1.7    
Bulgarie,14449,38356,2.7    ,253,602,2.4    ,9,32,3.6    ,0,0,0,126,202,1.6    ,700,1826,2.6    ,1170,3486,3.0    ,134,448,3.3    ,2441,6217,2.5    ,11,31,2.8    ,422,1813,4.3    ,8,16,2.0    ,601,1359,2.3    ,76,119,1.6    ,53,96,1.8    ,33,561,17.0    ,52,124,2.4    ,101,203,2.0    ,161,1140,7.1    ,288,586,2.0    ,110,266,2.4    ,688,2239,3.3    ,29,311,10.7    ,580,2196,3.8    ,1957,3845,2.0    ,344,777,2.3    ,4102,9861,2.4    
Chypre,3342,9234,2.8    ,5,8,1.6    ,4,42,10.5    ,0,0,0,9,22,2.4    ,123,330,2.7    ,210,674,3.2    ,22,35,1.6    ,709,1949,2.7    ,0,0,0,89,493,5.5    ,0,0,0,230,576,2.5    ,11,30,2.7    ,2,2,1.0    ,12,16,1.3    ,3,8,2.7    ,11,30,2.7    ,13,42,3.2    ,45,137,3.0    ,5,17,3.4    ,101,184,1.8    ,9,16,1.8    ,104,541,5.2    ,314,830,2.6    ,29,78,2.7    ,1282,3174,2.5    
Croatie,9717,26760,2.8    ,631,3178,5.0    ,15,41,2.7    ,0,0,0,71,128,1.8    ,307,719,2.3    ,679,2550,3.8    ,68,164,2.4    ,1160,3186,2.7    ,24,41,1.7    ,492,1987,4.0    ,19,44,2.3    ,481,1456,3.0    ,71,127,1.8    ,23,25,1.1    ,17,24,1.4    ,102,220,2.2    ,116,277,2.4    ,60,166,2.8    ,341,805,2.4    ,146,426,2.9    ,950,1671,1.8    ,43,657,15.3    ,291,972,3.3    ,786,2203,2.8    ,188,391,2.1    ,2636,5302,2.0    
Danemark,57611,133762,2.3    ,1596,4010,2.5    ,80,220,2.8    ,41,77,1.88,523,1021,2.0    ,3391,6376,1.9    ,5069,13006,2.6    ,1005,2229,2.2    ,6102,12621,2.1    ,45,67,1.5    ,6653,22930,3.4    ,29,67,2.3    ,2304,4911,2.1    ,516,1274,2.5    ,435,908,2.1    ,694,1861,2.7    ,376,604,1.6    ,1046,2492,2.4    ,1253,2380,1.9    ,1469,3244,2.2    ,456,808,1.8    ,3069,6525,2.1    ,330,862,2.6    ,3570,11736,3.3    ,4102,10293,2.5    ,874,1708,2.0    ,12583,21532,1.7    
Espagne,229103,451463,2.0    ,2151,5513,2.6    ,145,408,2.8    ,86,145,1.7    ,971,2720,2.8    ,10987,23998,2.2    ,20697,46980,2.3    ,4093,6809,1.7    ,54901,100748,1.8    ,67,141,2.1    ,4647,12980,2.8    ,152,330,2.2    ,10115,18098,1.8    ,1623,3616,2.2    ,226,545,2.4    ,807,1767,2.2    ,709,1237,1.7    ,728,1790,2.5    ,1802,4579,2.5    ,2046,5386,2.6    ,844,1883,2.2    ,6218,14022,2.3    ,401,766,1.9    ,13081,31433,2.4    ,18239,42210,2.3    ,1564,3806,2.4    ,71803,119553,1.7    
Estonie,7185,16349,2.3    ,119,248,2.1    ,3,9,3.0    ,0,0,0,10,27,2.7    ,92,218,2.4    ,635,1943,3.1    ,29,50,1.7    ,2718,4735,1.7    ,6,13,2.2    ,505,2198,4.4    ,0,0,0,394,856,2.2    ,25,46,1.8    ,5,5,1.0    ,109,180,1.7    ,15,21,1.4    ,44,106,2.4    ,31,62,2.0    ,104,198,1.9    ,42,132,3.1    ,532,1202,2.3    ,80,256,3.2    ,257,960,3.7    ,397,879,2.2    ,116,180,1.6    ,917,1825,2.0    
Finlande,38342,95284,2.5    ,833,1649,2.0    ,72,320,4.4    ,0,0,0,157,303,1.9    ,1161,2399,2.1    ,3150,7895,2.5    ,278,553,2.0    ,5789,12976,2.2    ,39,59,1.5    ,3230,12523,3.9    ,23,35,1.5    ,1502,2787,1.9    ,271,673,2.5    ,53,91,1.7    ,722,2230,3.1    ,328,608,1.9    ,351,584,1.7    ,380,676,1.8    ,814,2030,2.5    ,360,877,2.4    ,1356,2804,2.1    ,260,885,3.4    ,2708,11139,4.1    ,3124,9583,3.1    ,659,1393,2.1    ,10722,20212,1.9    
France,680932,1394166,2.0    ,9832,17732,1.8    ,491,1099,2.2    ,471,937,2.0    ,3484,7870,2.3    ,29429,47407,1.6    ,52350,131290,2.5    ,20356,33413,1.6    ,145396,241876,1.7    ,383,759,2.0    ,20698,64132,3.1    ,2549,4258,1.7    ,16504,32081,1.9    ,18532,32047,1.7    ,1875,3171,1.7    ,2445,5493,2.2    ,2239,3837,1.7    ,3205,6139,1.9    ,4413,7170,1.6    ,6167,12841,2.1    ,3363,5834,1.7    ,21230,43254,2.0    ,2415,5171,2.1    ,86595,223501,2.6    ,145257,329691,2.3    ,3687,7258,2.0    ,77566,125905,1.6    
Grèce,41097,101562,2.5    ,328,891,2.7    ,33,139,4.2    ,0,0,0,88,191,2.2    ,2229,4937,2.2    ,2041,5991,2.9    ,167,348,2.1    ,11343,24137,2.1    ,15,56,3.7    ,1560,6816,4.4    ,41,187,4.6    ,1925,4756,2.5    ,165,374,2.3    ,82,116,1.4    ,43,104,2.4    ,88,149,1.7    ,131,328,2.5    ,122,313,2.6    ,312,882,2.8    ,101,200,2.0    ,1907,3673,1.9    ,89,125,1.4    ,1203,5152,4.3    ,4618,13657,3.0    ,313,736,2.4    ,12153,27304,2.2    
Hongrie,33746,84364,2.5    ,737,3126,4.2    ,41,437,10.7    ,83,145,1.75,227,499,2.2    ,1563,5264,3.4    ,2238,4710,2.1    ,314,606,1.9    ,4618,11430,2.5    ,26,100,3.8    ,759,2717,3.6    ,20,26,1.3    ,1826,3727,2.0    ,146,319,2.2    ,217,416,1.9    ,499,830,1.7    ,218,455,2.1    ,518,1009,1.9    ,733,1945,2.7    ,671,1818,2.7    ,392,1006,2.6    ,1420,3484,2.5    ,2949,7429,2.5    ,1230,3593,2.9    ,3388,9099,2.7    ,452,1348,3.0    ,8461,18826,2.2    
Irlande (Eire),28805,65265,2.3    ,278,587,2.1    ,32,100,3.1    ,0,0,0,144,310,2.2    ,1932,4507,2.3    ,1903,6129,3.2    ,223,481,2.2    ,5922,11847,2.0    ,1,1,1.0    ,930,3293,3.5    ,53,202,3.8    ,1203,3616,3.0    ,413,990,2.4    ,66,96,1.5    ,54,131,2.4    ,177,331,1.9    ,183,345,1.9    ,111,247,2.2    ,507,979,1.9    ,147,355,2.4    ,859,1821,2.1    ,51,99,1.9    ,1328,4323,3.3    ,2389,6089,2.5    ,347,763,2.2    ,9552,17623,1.8    
